"COUNTRY","Country","SEX","Gender","AGE","Age","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","F","Female","Y2","2 years","2000","2000",122824,,
"AUS","Australia","F","Female","Y2","2 years","2005","2005",123149,,
"AUS","Australia","F","Female","Y2","2 years","2010","2010",142144,,
"AUS","Australia","F","Female","Y2","2 years","2011","2011",142664,,
"AUS","Australia","F","Female","Y2","2 years","2012","2012",145990,,
"AUS","Australia","F","Female","Y2","2 years","2013","2013",146286,,
"AUS","Australia","F","Female","Y2","2 years","2014","2014",150569,,
"AUS","Australia","F","Female","Y2","2 years","2015","2015",152568,,
"AUS","Australia","F","Female","Y2","2 years","2016","2016",151771,,
"AUS","Australia","F","Female","Y2","2 years","2017","2017",152931,,
"AUS","Australia","F","Female","Y2","2 years","2018","2018",155481,,
"AUS","Australia","F","Female","Y2","2 years","2019","2019",150270,,
"AUS","Australia","F","Female","Y2","2 years","2020","2020",147738,,
"AUS","Australia","F","Female","Y2","2 years","2021","2021",146026,,
"AUS","Australia","M","Male","Y2","2 years","2000","2000",129357,,
"AUS","Australia","M","Male","Y2","2 years","2005","2005",129727,,
"AUS","Australia","M","Male","Y2","2 years","2010","2010",149392,,
"AUS","Australia","M","Male","Y2","2 years","2011","2011",150320,,
"AUS","Australia","M","Male","Y2","2 years","2012","2012",153940,,
"AUS","Australia","M","Male","Y2","2 years","2013","2013",154130,,
"AUS","Australia","M","Male","Y2","2 years","2014","2014",159012,,
"AUS","Australia","M","Male","Y2","2 years","2015","2015",161280,,
"AUS","Australia","M","Male","Y2","2 years","2016","2016",159736,,
"AUS","Australia","M","Male","Y2","2 years","2017","2017",161266,,
"AUS","Australia","M","Male","Y2","2 years","2018","2018",164674,,
"AUS","Australia","M","Male","Y2","2 years","2019","2019",159110,,
"AUS","Australia","M","Male","Y2","2 years","2020","2020",156519,,
"AUS","Australia","M","Male","Y2","2 years","2021","2021",155186,,
"AUT","Austria","F","Female","Y2","2 years","2000","2000",41599,,
"AUT","Austria","F","Female","Y2","2 years","2005","2005",39454,,
"AUT","Austria","F","Female","Y2","2 years","2010","2010",38151,,
"AUT","Austria","F","Female","Y2","2 years","2011","2011",38328,,
"AUT","Austria","F","Female","Y2","2 years","2012","2012",38041,,
"AUT","Austria","F","Female","Y2","2 years","2013","2013",39346,,
"AUT","Austria","F","Female","Y2","2 years","2014","2014",38756,,
"AUT","Austria","F","Female","Y2","2 years","2015","2015",39381,,
"AUT","Austria","F","Female","Y2","2 years","2016","2016",40024,,
"AUT","Austria","F","Female","Y2","2 years","2017","2017",41306,,
"AUT","Austria","F","Female","Y2","2 years","2018","2018",41794,,
"AUT","Austria","F","Female","Y2","2 years","2019","2019",43488,,
"AUT","Austria","F","Female","Y2","2 years","2020","2020",43051,,
"AUT","Austria","F","Female","Y2","2 years","2021","2021",42483,,
"AUT","Austria","M","Male","Y2","2 years","2000","2000",43430,,
"AUT","Austria","M","Male","Y2","2 years","2005","2005",41316,,
"AUT","Austria","M","Male","Y2","2 years","2010","2010",39885,,
"AUT","Austria","M","Male","Y2","2 years","2011","2011",40853,,
"AUT","Austria","M","Male","Y2","2 years","2012","2012",39952,,
"AUT","Austria","M","Male","Y2","2 years","2013","2013",41315,,
"AUT","Austria","M","Male","Y2","2 years","2014","2014",41459,,
"AUT","Austria","M","Male","Y2","2 years","2015","2015",42104,,
"AUT","Austria","M","Male","Y2","2 years","2016","2016",42630,,
"AUT","Austria","M","Male","Y2","2 years","2017","2017",44073,,
"AUT","Austria","M","Male","Y2","2 years","2018","2018",44711,,
"AUT","Austria","M","Male","Y2","2 years","2019","2019",45913,,
"AUT","Austria","M","Male","Y2","2 years","2020","2020",45927,,
"AUT","Austria","M","Male","Y2","2 years","2021","2021",44604,,
"BEL","Belgium","F","Female","Y2","2 years","2000","2000",56947,,
"BEL","Belgium","F","Female","Y2","2 years","2005","2005",55095,,
"BEL","Belgium","F","Female","Y2","2 years","2010","2010",61537,,
"BEL","Belgium","F","Female","Y2","2 years","2011","2011",63440,,
"BEL","Belgium","F","Female","Y2","2 years","2012","2012",63685,,
"BEL","Belgium","F","Female","Y2","2 years","2013","2013",64596,,
"BEL","Belgium","F","Female","Y2","2 years","2014","2014",63615,,
"BEL","Belgium","F","Female","Y2","2 years","2015","2015",63394,,
"BEL","Belgium","F","Female","Y2","2 years","2016","2016",62103,,
"BEL","Belgium","F","Female","Y2","2 years","2017","2017",61898,,
"BEL","Belgium","F","Female","Y2","2 years","2018","2018",60651,,
"BEL","Belgium","F","Female","Y2","2 years","2019","2019",60251,,
